user_id,synch,asynch,upqa,tpqa,is_lira,course_id,tqc_fa,eqc_fa,eqc_fa_sr,tq_fa_sr,rc
33924,5,76,81,92,0,4,48,12,0.8,0.8571428571428571,1
33947,10,71,81,160,0,4,47,11,0.7333333333333333,0.8392857142857143,0
34012,0,81,81,194,0,4,30,12,0.8,0.5357142857142857,0
34103,2,4,6,16,1,5,0,6,0.4,0,0
34184,0,43,43,104,1,5,22,9,0.6,0.7333333333333333,0
34448,0,81,81,174,0,4,23,9,0.6,0.4107142857142857,0
34463,0,27,27,60,0,4,6,0,0,0.3529411764705882,0
34501,0,7,7,11,0,4,0,0,0,0,0
34988,6,77,83,250,1,5,34,11,0.7333333333333333,0.6071428571428571,0
35139,20,63,83,142,1,5,49,13,0.8666666666666667,0.875,1
35166,0,6,6,14,0,4,0,0,0,0,0
35257,0,83,83,189,1,5,29,11,0.7333333333333333,0.5178571428571429,0
35418,0,19,19,31,1,5,6,8,0.5333333333333333,0.6666666666666666,0
35733,0,3,3,6,1,5,0,0,0,0,0
35826,7,56,63,160,0,4,35,13,0.8666666666666667,0.7142857142857143,0
35832,22,61,83,184,1,5,44,12,0.8,0.8301886792452831,1
35992,0,33,33,62,1,5,15,0,0,0.6521739130434783,0
36213,0,0,0,0,0,4,0,0,0,0,0
36256,0,12,12,16,0,4,0,0,0,0,0
36262,0,81,81,141,0,4,48,12,0.8,0.8571428571428571,1
36523,6,9,15,41,1,5,3,10,0.6666666666666666,0.2727272727272727,0
36631,0,0,0,0,0,4,0,0,0,0,0
36651,10,62,72,118,0,4,42,0,0,0.8571428571428571,0
36775,5,76,81,157,0,4,42,13,0.8666666666666667,0.75,1
36815,0,4,4,12,0,4,0,0,0,0,0
36999,0,83,83,125,1,5,34,10,0.6666666666666666,0.6071428571428571,0
37064,10,71,81,126,0,4,48,13,0.8666666666666667,0.8571428571428571,1
37136,0,11,11,29,1,5,0,0,0,0,0
37225,13,68,81,193,1,5,47,12,0.8,0.8392857142857143,1
37311,4,26,30,61,0,4,4,0,0,0.6666666666666666,0
37312,0,81,81,134,0,4,38,11,0.7333333333333333,0.6785714285714286,1
37411,0,0,0,0,0,4,0,0,0,0,0
37422,0,5,5,12,0,4,27,10,0.6666666666666666,0.4821428571428571,0
37490,2,79,81,196,0,4,38,11,0.7333333333333333,0.6785714285714286,0
37619,0,0,0,0,1,5,0,0,0,0,0
37735,7,76,83,254,1,5,33,7,0.4666666666666667,0.5892857142857143,0
37817,0,81,81,138,0,4,40,12,0.8,0.7142857142857143,0
37836,0,83,83,116,1,5,39,13,0.8666666666666667,0.7959183673469388,1
38106,5,76,81,133,0,4,43,12,0.8,0.7678571428571429,1
38144,0,11,11,22,0,4,23,0,0,0.4107142857142857,0
38241,2,2,4,10,1,5,0,0,0,0,0
38416,3,55,58,142,1,5,20,0,0,0.5555555555555556,0
38697,2,66,68,130,1,5,38,11,0.7333333333333333,0.6785714285714286,0
38762,0,28,28,42,0,4,10,0,0,0.9090909090909092,0
38766,2,24,26,77,1,5,5,0,0,0.8333333333333334,0
38805,3,78,81,153,0,4,29,10,0.6666666666666666,0.5178571428571429,0
39079,0,81,81,158,0,4,36,12,0.8,0.6428571428571429,1
39564,0,20,20,39,0,4,0,0,0,0,0
39586,6,46,52,105,1,5,13,0,0,0.6842105263157895,0
39685,0,15,15,22,0,4,21,12,0.8,0.6774193548387096,0
39737,6,34,40,88,1,5,18,0,0,0.782608696,0
40206,0,36,36,76,0,4,9,8,0.5333333333333333,0.4736842105263157,0
40226,0,52,52,142,0,4,31,0,0,0.7380952380952381,0
40458,8,75,83,237,1,5,45,12,0.8,0.8035714285714286,1
40638,2,79,81,194,0,4,45,12,0.8,0.9,1
40757,0,83,83,246,1,5,26,11,0.7333333333333333,0.4642857142857143,0
40813,0,21,21,40,1,5,2,0,0,0.3333333333333333,0
40909,0,2,2,5,1,5,0,0,0,0,0
41313,0,81,81,122,0,4,48,13,0.8666666666666667,0.8571428571428571,1
41487,3,22,27,67,1,5,6,0,0,0.5,0
41591,4,22,26,103,0,4,6,8,0.5333333333333333,0.3333333333333333,0
41789,0,10,10,26,0,4,3,0,0,0.5,0
42120,0,81,81,124,0,4,40,14,0.9333333333333332,0.7142857142857143,0
42157,0,0,0,0,1,5,0,0,0,0,0
42250,0,9,9,14,1,5,0,0,0,0,0
42646,0,81,81,358,0,4,44,11,0.7333333333333333,0.7857142857142857,0
42670,2,20,22,39,1,5,4,0,0,0.8,0
42869,5,8,13,27,1,5,6,0,0,0.8571428571428571,0
42930,0,83,83,145,1,5,38,13,0.8666666666666667,0.6785714285714286,0
43326,0,81,81,206,0,4,33,9,0.6,0.66,0
43806,0,13,13,15,1,5,0,0,0,0,0
43839,0,49,49,86,0,4,17,0,0,0.5483870967741935,0
44013,0,10,10,21,0,4,0,0,0,0,0
44430,0,37,37,100,1,5,22,8,0.5333333333333333,0.3928571428571428,0
44758,7,76,83,342,1,5,39,6,0.4,0.6964285714285714,0
44814,0,15,15,24,0,4,10,0,0,0.9090909090909092,0
45062,0,13,13,22,1,5,0,0,0,0,0
45376,0,3,3,6,0,4,0,0,0,0,0
45600,0,0,0,0,0,4,0,0,0,0,0
45603,6,75,81,129,0,4,44,12,0.8,0.7857142857142857,0
45683,0,4,4,6,0,4,3,0,0,0.75,0
45889,0,79,79,169,0,4,41,12,0.8,0.7321428571428571,0
46009,2,79,81,173,0,4,35,10,0.6666666666666666,0.625,1
46104,0,18,18,27,1,5,0,0,0,0,0
46153,0,8,8,14,0,4,3,0,0,0.4285714285714285,0
46233,0,4,4,4,0,4,0,0,0,0,0
46253,0,30,30,69,0,4,7,0,0,0.5833333333333334,0
46445,5,78,83,168,1,5,38,12,0.8,0.6785714285714286,1
46466,0,11,11,18,0,4,0,0,0,0,0
46782,0,61,61,128,0,4,25,0,0,0.5681818181818182,0
47105,1,26,27,61,0,4,20,11,0.7333333333333333,0.6060606060606061,0
47218,0,12,12,21,0,4,0,0,0,0,0
47377,0,13,13,27,0,4,26,9,0.6,0.6046511627906976,0
47423,0,18,18,50,1,5,11,9,0.6,0.55,0
47523,3,42,45,83,0,4,32,12,0.8,0.5714285714285714,0
47753,3,67,81,139,0,4,41,11,0.7333333333333333,0.7321428571428571,0
47830,0,4,4,7,1,5,6,0,0,0.75,0
47964,0,64,64,242,0,4,26,0,0,0.6842105263157895,0
48006,5,5,10,15,0,4,20,0,0,0.8333333333333334,0
48010,0,42,42,89,0,4,32,11,0.7333333333333333,0.5714285714285714,0
48310,0,37,37,104,0,4,12,11,0.7333333333333333,0.48,0
48418,0,25,25,37,1,5,20,8,0.5333333333333333,0.5555555555555556,0
49694,2,79,81,141,0,4,26,12,0.8,0.52,0
50008,0,22,22,55,1,5,5,0,0,1,0
50010,3,16,19,49,0,4,16,9,0.6,0.4324324324324324,0
50259,2,81,83,233,1,5,33,13,0.8666666666666667,0.5892857142857143,0
50662,0,83,83,244,1,5,34,12,0.8,0.6071428571428571,0
50803,0,31,31,87,0,4,0,0,0,0,0
51048,0,2,2,3,1,5,0,0,0,0,0
51089,7,76,83,294,1,5,54,11,0.7333333333333333,0.9642857142857144,0
51116,5,76,81,124,0,4,39,11,0.7333333333333333,0.6964285714285714,0
51158,3,80,83,132,1,5,37,13,0.8666666666666667,0.6607142857142857,1
51497,2,81,83,377,1,5,40,9,0.6,0.7142857142857143,0
51890,0,0,0,0,0,4,0,0,0,0,0
52089,2,51,53,113,1,5,20,7,0.4666666666666667,0.6666666666666666,0
52223,3,78,81,329,0,4,46,11,0.7333333333333333,0.8214285714285714,1
52251,4,19,23,30,1,5,9,0,0,0.75,0
52321,0,0,0,0,0,4,0,0,0,0,0
52534,0,4,4,6,0,4,0,0,0,0,0
52849,0,81,81,135,0,4,31,12,0.8,0.6326530612244898,1
53048,0,0,0,0,0,4,0,8,0.5333333333333333,0,0
53148,4,16,20,49,0,4,10,0,0,0.4545454545454545,0
53255,4,79,83,162,1,5,29,10,0.6666666666666666,0.5178571428571429,0
53260,0,13,13,33,0,4,9,0,0,0.8181818181818182,0
53279,1,54,55,165,0,4,14,7,0.4666666666666667,0.3684210526315789,0
